级别,编号,汉字,注音,词组,例句
1,553,讶,yà,"惊讶,讶然,怪讶,惊讶不已,讶异",听到这个好消息真让人惊讶不已。
1,554,许,xǔ,"许许多多,许诺,也许,允许,许多",广场上许许多多的小朋友在玩。
1,555,讹,é,"以讹传讹,讹传,讹诈,差讹,讹误",那个谣言以讹传讹，不可信呀。
1,556,论,"lún, lùn","论语,谈论,讨论,结论,理论",语文课上，大家讨论得很热烈。
1,557,讼,sòng,"讼事,诉讼,涉讼,息讼,聚讼",遇到纠纷时，可以依法提起诉讼。
1,558,农,nóng,"农民,农村,农业,农场,菜农",金秋时节，农民伯伯辛苦地收割。
1,559,讽,fěng,"讽刺,嘲讽,讥讽,冷嘲热讽,讽谏",这幅漫画讽刺了社会上的坏现象。
1,560,设,shè,"设身处地,建设,设施,设立,设想",我们要努力地建设美好的家园。
1,561,访,fǎng,"访问,采访,走访,拜访,访客",小记者们在认真地采访着校长。
1,562,诀,jué,"诀别,秘诀,口诀,诀窍,妙诀",老师说学好知识是有秘诀的呀。
1,563,寻,xún,"寻根究底,自寻烦恼,寻找,寻常,寻人",放学后我在到处寻找丢失的铅笔。
1,564,那,"nā, nà","那个,那些,那里,那么,那边",那个小朋友真是有礼貌的好孩子。
1,565,迅,xùn,"迅速,迅猛,迅捷,迅急,迅疾",下课铃一响他迅速地跑向操场。
1,566,尽,"jǐn, jìn","尽心尽力,尽职尽责,尽量,尽力,尽头",老师常说做事要尽心尽力才行。
1,567,导,dǎo,"因势利导,导师,引导,导演,辅导",课后老师耐心地辅导我学习呀。
1,568,异,yì,"异口同声,标新立异,异常,差异,奇异",面对提问大家异口同声地回答。
1,569,弛,chí,"弛缓,松弛,弛废,一张一弛,弛懈",老师说学习要懂得一张一弛呀。
1,570,孙,sūn,"含饴弄孙,子孙,孙女,孙子,外孙",爷爷含饴弄孙，真是开心极了。
1,571,阵,zhèn,"阵雨,阵地,阵风,一阵,阵线",刚才天上落下了一阵倾盆大雨。
1,572,阳,yáng,"阳光明媚,骄阳似火,太阳,阳光,阳台",今天阳光明媚，天气真暖和呀。
1,573,收,shōu,"收获,丰收,收拾,收入,收到",金色的秋天是农民收获的季节。
1,574,阶,jiē,"阶段,阶级,台阶,阶梯,阶地",老师说学习要一步一个台阶呀。
1,575,阴,yīn,"阴晴圆缺,阴天,阴暗,阴凉,树阴",今天是阴天，天上没有出太阳。
1,576,防,fáng,"防患未然,防微杜渐,防止,预防,防守",老师常提醒我们要防患于未然。
1,577,奸,jiān,"奸诈,汉奸,奸商,奸臣,狼狈为奸",那些狼狈为奸的坏人要受惩罚。
1,578,如,rú,"如饥似渴,如释重负,如果,如同,如意",他在图书馆里如饥似渴地读书。
1,579,妇,fù,"妇女,夫妇,妇联,孕妇,寡妇",三八妇女节那天，女老师们放假。
1,580,妃,fēi,"妃子,王妃,贵妃,妃色,后妃",童话里的那位王妃长得十分美丽。
1,581,好,"hǎo, hào","好逸恶劳,好事多磨,好的,好人,好像",他从小是一个乐于助人的大好人。
1,582,她,tā,"她们,她的,她俩,她家",她从小就是一个爱学习的好孩子。
1,583,妈,mā,"妈妈,爸妈,姑妈,奶妈,大妈",我亲爱的妈妈每天辛苦地工作。
1,584,戏,xì,"戏弄,游戏,看戏,戏曲,戏院",下课后，我们一起开心玩游戏。
1,585,羽,yǔ,"羽毛,羽毛球,羽绒,羽翼,羽冠",孔雀开屏时的羽毛真是美丽呀。
1,586,观,"guān, guàn","袖手旁观,走马观花,观看,观众,观察",上科学课我们要仔细观察事物。
1,587,欢,huān,"欢呼雀跃,皆大欢喜,欢乐,喜欢,欢迎",听到好消息同学们欢呼雀跃起来。
1,588,买,mǎi,"买卖,购买,买东西,收买,买家",周末妈妈去超市里买日常东西。
1,589,红,hóng,"万紫千红,面红耳赤,红色,红旗,红领巾",少先队员的胸前飘着红领巾呀。
1,590,驮,"duò, tuó","驮着,驮运,驮马,驮子,负驮",弯曲的山路上一只小毛驴驮着货物。
1,591,纤,"qiàn, xiān","纤细,纤巧,纤毛,纤弱,纤纤",春天里，柳条的枝条纤细柔软。
1,592,驯,xùn,"驯服,驯养,驯鹿,温驯,驯化",北方的驯鹿在茫茫雪地里奔跑。
1,593,约,"yāo, yuē","约法三章,不约而同,约定,约束,约会",这个周末我们约好一起去图书馆。
1,594,级,jí,"班级,年级,高级,等级,上级",我们这个班级十分地团结友爱。
1,595,纪,"jǐ, jì","纪律,纪念,世纪,纪录,年纪",上课时，我们都要遵守好纪律。
1,596,驰,chí,"风驰电掣,驰骋,奔驰,飞驰,驰名",一辆红色小汽车在公路上飞驰。
1,597,纫,rèn,"缝纫,纫针,感纫,纫佩,缝纫机",妈妈会用缝纫机给我做新衣服。
1,598,巡,xún,"巡逻,巡视,巡警,巡查,巡回",深夜里，警察叔叔在街上巡逻。
1,599,寿,shòu,"寿比南山,长寿,寿命,寿星,祝寿",我们全家人都祝爷爷健康长寿。
1,600,弄,"lòng, nòng","弄巧成拙,愚弄,弄清,摆弄,戏弄",我一定要弄清楚这道数学难题。
1,601,麦,mài,"麦子,小麦,麦田,大麦,麦穗",金秋时节，麦田里一片金黄呀。
1,602,玖,jiǔ,"玖佰,玖拾,玖玖,琼玖,贰玖",在账本里，玖是数字九的大写。
1,603,玛,mǎ,"玛瑙,玛瑙石,玛瑙红,玛瑙珠",妈妈这块红色的玛瑙真是漂亮。
1,604,形,xíng,"形式,形形色色,形状,形态,形容",天上这朵白云的形状像只小狗。
1,605,进,jìn,"进步,进取,前进,进出,进行",学习上我们要不断地取得进步。
1,606,戒,jiè,"戒骄戒躁,引以为戒,戒烟,戒心,戒备",老师常提醒我们要戒骄戒躁呀。
1,607,吞,tūn,"吞吞吐吐,狼吞虎咽,吞咽,吞食,温吞",饿坏了的他狼吞虎咽地吃着饭。
1,608,远,yuǎn,"远走高飞,源远流长,远方,远处,永远",一只老鹰向着遥远的远方飞去。
1,609,违,wéi,"阳奉阴违,违心,违反,违背,违抗",我们决不能违反学校的纪律呀。
1,610,韧,rèn,"坚韧,韧性,韧劲,柔韧,坚韧不拔",他从小就有着坚韧不拔的意志。
1,611,运,yùn,"运筹帷幄,运气,运动,运送,运行",经常做运动能锻炼出好身体呀。
1,612,扶,fú,"扶老携幼,救死扶伤,扶手,扶持,扶起",我急忙把摔倒的小朋友扶起来。
1,613,抚,fǔ,"抚养,抚摸,抚慰,安抚,抚育",妈妈轻轻地抚摸着我的头顶呀。
1,614,坛,tán,"论坛,花坛,祭坛,讲坛,天坛",校园的花坛里开满了美丽鲜花。
1,615,技,jì,"技艺,技巧,技术,技能,科技",他很快就掌握了骑自行车的技巧。
1,616,坏,huài,"坏人,坏事,破坏,坏处,好坏",当个好孩子，决不会去做坏事。
1,617,抠,kōu,"抠门,抠搜,抠出,抠字眼,抠紧",他写作业时总爱抠着字眼儿呀。
1,618,扰,rǎo,"扰乱,打扰,骚扰,困扰,干扰",自习时请不要打扰别人学习呀。
1,619,扼,è,"扼杀,扼守,扼要,扼腕,扼制",会上他简明扼要地说明了情况。
1,620,拒,jù,"拒之门外,拒绝,抗拒,拒收,拒捕",他婉言地拒绝了同学送的礼物。
1,621,找,zhǎo,"找寻,寻找,找到,查找,找零",我终于找到了那支丢失的铅笔。
1,622,批,pī,"批评,批准,批量,批改,批语",老师认真地批改着我的作业呀。
1,623,址,zhǐ,"地址,旧址,遗址,住址,校址",信封上写清楚了收信人的地址。
1,624,扯,chě,"拉扯,扯开,扯谎,扯淡,扯动",他扯开嗓子大声地喊叫了起来。
1,625,走,zǒu,"走马观花,远走高飞,走路,行走,走开",刚满一岁的小弟弟正在学走路。
1,626,抄,chāo,"抄写,抄近路,抄袭,抄录,查抄",语文老师让我们认真地抄写生字。
1,627,贡,gòng,"贡献,进贡,贡品,贡奉,贡生",他为班集体做出了很大的贡献。
1,628,汞,gǒng,"汞灯,水银汞,汞中毒,汞柱,红汞",温度计里的水银汞是有毒的呀。
1,629,坝,bà,"大坝,堤坝,水坝,坝子,筑坝",勇敢的工人们修筑了坚固的大坝。
1,630,攻,gōng,"攻无不克,攻克,攻击,进攻,反攻",经过思考，我们攻克了这道难题。
1,631,赤,chì,"赤子之心,面红耳赤,赤脚,赤诚,赤色",他从小就有一颗真诚的赤子之心。
1,632,折,"shé, zhē, zhé","百折不挠,不折不扣,折断,折腾,折纸",他百折不挠地练习着书法艺术。
1,633,抓,zhuā,"抓耳挠腮,抓紧,抓住,抓起,抓人",下课后他抓紧时间写完了作业。
1,634,扳,bān,"扳倒,扳手,扳平,扳回,扳子",爸爸用扳手修理着那辆自行车。
1,635,抡,lūn,"抡起,抡拳,抡刀,抡圆,抡动",他抡起胳膊使劲地干起了活来。
1,636,扮,bàn,"打扮,装扮,扮演,扮相,扮装",过年时姐姐把自己打扮得漂亮。
1,637,抢,"qiāng, qiǎng","抢先,抢夺,抢救,抢劫,抢答",课堂上他抢先回答了老师的问题。
1,638,孝,xiào,"孝敬,孝顺,孝心,孝子,守孝",老师说我们要好好地孝敬父母。
1,639,坎,kǎn,"坎坷,坎肩,门槛,坎坷不平",前进的道路坎坷，我们要坚强。
1,640,均,jūn,"平均,均匀,均衡,均分,势均力敌",我们把这些糖果平均地分开了呀。
1,641,抑,yì,"抑制,抑郁,压抑,抑扬,抑或",他努力抑制住自己内心的激动。
1,642,抛,pāo,"抛砖引玉,抛弃,抛出,抛物,抛锚",他果断地抛弃了身上的坏习惯。
1,643,投,tóu,"投桃报李,投石问路,投入,投球,投票",比赛中他用力地把篮球投出去。
1,644,坟,fén,"坟墓,坟地,上坟,坟头,祖坟",清明节，我们去烈士坟前扫墓。
1,645,坑,kēng,"坑坑洼洼,水坑,泥坑,火坑,挖坑",这条土路坑坑洼洼的，真难走。
1,646,抗,kàng,"抗争,抗旱,抗击,反抗,抵抗",军民团结一致地抗击着洪水呀。
1,647,坊,"fāng, fáng","坊间,作坊,牌坊,坊市,染坊",这条街是一条古老的作坊街呀。
1,648,抖,dǒu,"抖擞,发抖,抖动,颤抖,抖落",寒风中他被冻得直发着抖呀。
1,649,护,hù,"保护,爱护,护士,拥护,看护",老师说我们要好好地保护环境。
1,650,壳,"ké, qiào","外壳,蛋壳,贝壳,甲壳,脑壳",那只小乌龟有个坚硬的外壳呀。
1,651,志,zhì,"志同道合,雄心壮志,志向,志愿,意志",他从小就有着远大的志向理想。
1,652,块,kuài,"一块,块头,石块,木块,地块",桌子上放着一块白色的新橡皮呀。
1,653,扭,niǔ,"扭转,扭头,扭伤,扭打,歪扭",上课时他扭头看了一眼窗外面。
1,654,声,shēng,"声情并茂,声东击西,声音,大声,笑声",下课后教室里传来了阵阵笑声。
1,655,把,"bǎ, bà","把握,把手,把戏,一把,把关",上车时我紧紧地握住车门把手。
1,656,报,bào,"报恩,报仇,报纸,报告,报答",我要用优异的成绩来报答妈妈。
1,657,拟,nǐ,"拟定,模拟,拟人,拟稿,拟作",课上老师让我们模拟一次考试。
1,658,却,què,"退却,了却,却步,推却,忘却",遇到困难他也决不会退缩退却。
1,659,抒,shū,"抒发,抒情,抒写,抒怀,各抒己见",在作文中他抒发了内心的感情。
1,660,劫,jié,"浩劫,劫难,抢劫,劫持,劫匪",那个持刀的劫匪被警察抓住了。
1,661,芙,fú,"芙蓉,芙渠,水芙蓉,木芙蓉,芙蓉花",夏天的池塘里开满了美丽芙蓉花。
1,662,芜,wú,"荒芜,芜杂,芜劣,莱芜,芜菁",村外那片田地荒芜，长满杂草。
1,663,苇,wěi,"芦苇,苇塘,苇荡,苇叶,苇席",夏天小池塘的边上长满了芦苇。
1,664,芽,yá,"发芽,嫩芽,萌芽,芽儿,豆芽",春天到了，树枝悄悄地发芽了。
1,665,花,huā,"百花齐放,锦上添花,花朵,花坛,花生",春天到了，花坛里的花儿真鲜艳。
1,666,芹,qín,"芹菜,水芹,芹献,芹意,采芹",妈妈亲手炒的芹菜真是香喷喷。
1,667,芥,"gài, jiè","芥菜,芥末,芥蒂,芥子,草芥",我真不喜欢芥末那股的辛辣味呀。
1,668,芬,fēn,"芬芳,芬兰,芬香,遗芬,清芬",春天，花园里芬芳扑鼻而来呀。
1,669,苍,cāng,"苍翠欲滴,苍白,苍老,苍茫,苍天",远处那座山上树木苍翠欲滴呀。
1,670,芳,fāng,"芳香,芬芳,芳草,流芳百世,芳名",春天里，芳草鲜美绿油油的呀。
1,671,严,yán,"严阵以待,严严实实,严格,严重,庄严",老师对我们的要求十分地严格。
1,672,芦,"lú, lǔ","芦苇,芦笋,芦花,葫芦,芦荟",院子里，葫芦藤上结满了葫芦。
1,673,芯,"xīn, xìn","芯片,灯芯,芯子,笔芯,芯柱",我这支铅笔的笔芯快要用完了。
1,674,劳,láo,"劳逸结合,任劳任怨,劳动,劳累,功劳",老师常教育我们要热爱劳动呀。
1,675,克,kè,"克己奉公,以柔克刚,克服,千克,巧克力",学习上我们要勇于克服困难呀。
1,676,芭,bā,"芭蕉,芭蕾,芭蕉扇,芭乐,芭蕾舞",我的姐姐从小就爱跳芭蕾舞呀。
1,677,苏,sū,"苏醒,复苏,苏州,江苏,苏打",春天到了，大地万物都复苏了。
1,678,杆,"gān, gǎn","旗杆,栏杆,杆子,杆菌,笔杆",学校操场上竖起了一根旗杆呀。
1,679,杠,gàng,"杠杆,杠铃,抬杠,单杠,杠子",体育课上他在单杠上翻转身体。
1,680,杜,dù,"杜鹃,杜绝,杜门,杜撰,防微杜渐",春天里，杜鹃鸟在枝头上叫着。
1,681,材,cái,"木材,材料,教材,钢材,选材",工地上的这些木材真是结实呀。
1,682,村,cūn,"村庄,村子,乡村,农村,村长",傍晚，村庄里炊烟袅袅地升起。
1,683,杖,zhàng,"拐杖,手杖,魔杖,杖责,禅杖",年迈的爷爷拄着拐杖慢慢地走。
1,684,杏,xìng,"杏子,杏树,杏仁,银杏,杏花",我家的院子里种着一棵大杏树。
1,685,杉,"shā, shān","杉树,杉木,水杉,冷杉,云杉",远处山上的杉树高大又挺拔呀。
1,686,巫,wū,"巫婆,巫师,巫术,巫山,女巫",童话故事里那个老巫婆真是坏。
1,687,极,jí,"极目远眺,积极,极好,南极,极点",他积极踊跃地参加班里的活动。
1,688,李,lǐ,"李子,桃李,行李,李树,张三李四",院子里树上结的李子又酸又甜。
1,689,杨,yáng,"杨树,杨柳,杨梅,白杨,杨桃",路边那一排白杨树高大又茂盛。
1,690,求,qiú,"求之不得,精益求精,求知,请求,要求",那个爱学习的孩子对知识求知若渴。
1,691,甫,fǔ,"甫定,甫及,甫一,甫出,甫始",他甫一登台出场就令人惊艳呀。
1,692,匣,xiá,"匣子,暗匣,骨匣,镜匣,匣子枪",奶奶有一个古老的小木匣子呀。
1,693,更,"gēng, gèng","更上一层楼,更加,更好,更多,更换",老师说学习要更上一层楼呀。
1,694,束,shù,"束手无策,无拘无束,束缚,花束,结束",遇到难题他束手无策，真着急呀。
1,695,吾,wú,"吾辈,吾人,吾乡,吾身,支吾",老师常教育吾辈要自强不息呀。
1,696,豆,dòu,"豆子,黄豆,绿豆,豆芽,豆腐",妈妈亲手做的豆腐真是香喷喷。
1,697,两,liǎng,"两面三刀,两全其美,两个,两面,两样",这样做的话就能两全其美了呀。
1,698,酉,yǒu,"酉时,乙酉,丁酉,癸酉,辛酉",酉是中国古代地支之一，用来记时。
1,699,丽,"lí, lì","风和日丽,华丽,美丽,丽人,壮丽",这里的风景真是美丽动人极了。
1,700,医,yī,"医生,医院,医药,就医,医务",敬爱的医生治病救人是其天职呀。
1,701,辰,chén,"辰时,时辰,星辰,良辰,生辰",夏夜空中的星辰闪闪地发光呀。
1,702,励,lì,"勉励,鼓励,奖励,励志,励精图治",老师勉励我要好好地学习知识。
1,703,否,"fǒu, pǐ","否认,否定,否则,否决,是否",他坚决地否认自己做过坏事呀。
1,704,还,"hái, huán","还原,还击,还是,还有,归还",我还有一道数学题没有做完呀。
1,705,尬,gà,"尴尬,尴尬不已,尴尬局面,尴尬事",答错后他尴尬地低下了自己的头。
1,706,歼,jiān,"歼灭,歼击机,歼敌,围歼,聚歼",勇敢的解放军歼灭了全部敌人。
1,707,来,lái,"来之不易,继往开来,来到,过来,未来",老师说幸福的生活来之不易呀。
1,708,连,lián,"连绵不断,接二连三,连接,连忙,相连",春天的雨接二连三地下着呀。
1,709,轩,xuān,"轩昂,轩昂大波,轩敞,轩窗,轩辕",他气宇轩昂地大步走了过来呀。
1,710,步,bù,"步步高升,寸步难行,跑步,脚步,散步",吃过晚饭，我们去公园里散步。
1,711,卤,lǔ,"卤味,卤肉,卤蛋,卤汁,盐卤",妈妈亲手做的卤蛋真是香喷喷。
1,712,坚,jiān,"坚持不懈,坚韧不拔,坚定,坚决,坚固",学习上我们要坚持不懈地努力。
1,713,肖,"xiāo, xiào","生肖,肖像,不肖,肖似,惟妙惟肖",他画的这幅画真是惟妙惟肖呀。
1,714,旱,hàn,"旱灾,干旱,旱地,旱伞,旱井",长期的干旱之后终于下起了大雨。
1,715,盯,dīng,"盯住,盯着,盯梢,盯人,盯防",上课时他紧紧地盯着黑板看。
1,716,呈,chéng,"呈现,呈报,呈交,呈献,呈递",春天，大地呈现出一片繁荣景象。
1,717,时,shí,"时时刻刻,曾几何时,时间,有时,小时",时间过得飞快，转眼就放学了。
1,718,吴,wú,"吴国,东吴,吴语,姓吴,吴刚",在我们班里，吴是个常见的姓氏。
1,719,助,zhù,"助人为乐,守望相助,帮助,援助,助手",那个热心的同学从小就乐于帮助别人。
1,720,县,xiàn,"县城,县长,县里,外县,郡县",我们一家住在那小小的县城里呀。
1,721,里,lǐ,"里里外外,千里迢迢,里面,这里,里头",下课后，教室里面真是热闹呀。
1,722,呆,dāi,"目瞪口呆,呆若木鸡,发呆,呆住,呆板",看到这一幕，他吓得呆若木鸡呀。
1,723,吱,"zhī, zī","吱吱,吱声,吱吱叫,吱溜,吱呀",躲在洞里的小老鼠吱吱地叫着呀。
1,724,吠,fèi,"狂吠,犬吠,桀犬吠尧,吠叫,狗吠",半夜里，院子里的狗吠叫个不停。
1,725,呕,ǒu,"呕吐,呕心,呕血,作呕,呕气",晕车的他恶心得想要呕吐了呀。
1,726,园,yuán,"满园春色,园丁,公园,校园,乐园",春天到了，公园里春色满园呀。
1,727,旷,kuàng,"旷日持久,心旷神怡,旷野,旷课,空旷",站在山顶上，真令人心旷神怡。
1,728,围,wéi,"围魏救赵,围观,围绕,周围,包围",下课后同学们围着老师问问题呀。
1,729,呀,"yā, ya","呀呀,哎呀,咿呀,天呀,好呀",哎呀，我今天又忘带课本了呀！
1,730,吨,dūn,"吨位,一吨,几吨,吨数,千吨",这辆大卡车装了一吨重的货物呀。
1,731,足,zú,"丰衣足食,不足为奇,满足,足够,足迹",这点小事真的是不足为奇呀。
1,732,邮,yóu,"邮票,邮政,邮递员,邮局,邮件",我已经收集了许多漂亮的邮票。
1,733,男,nán,"男女,男生,男孩,男子,男儿",我们班级里的男生都爱踢足球。
1,734,困,kùn,"困难,困倦,困苦,贫困,困惑",这道数学题真的有点儿困难呀。
1,735,吵,"chāo, chǎo","吵闹,吵架,吵醒,吵嚷,争吵",那个小弟弟吵着闹着要吃糖果呀。
1,736,串,chuàn,"串通,串门,串联,串起,串子",奶奶把珠子一颗颗地串了起来。
1,737,员,"yuán, yùn","员工,队员,会员,演员,售票员",他是一名优秀的小少先队员呀。
1,738,呐,nà,"呐喊,呐呐,呐罕,声呐,摇旗呐喊",操场上大家为运动员呐喊助威。
1,739,听,tīng,"听天由命,听而不闻,听见,听说,好听",清晨，我听见窗外小鸟在唱歌。
1,740,吟,yín,"吟唱,吟诗,吟咏,低吟,龙吟",姐姐在轻轻地吟唱着动听歌曲。
1,741,吩,fēn,"吩咐,吩咐道,吩咐着,吩咐声,吩咐话",妈妈吩咐我去买一瓶酱油回来。
1,742,呛,"qiāng, qiàng","呛人,呛水,呛咳,呛声,呛辣",屋里的烟味呛人，真是难受呀。
1,743,吻,wěn,"吻合,亲吻,口吻,吻别,飞吻",临睡前妈妈轻轻地亲吻我额头。
1,744,吹,chuī,"自吹自擂,风吹草动,吹牛,吹风,吹笛",那个同学总爱吹牛说着大话呀。
1,745,呜,wū,"呜咽,呜呼,呜呜,呜叫,呜啦",远处警车呜呜地响起了警笛呀。
1,746,吭,"háng, kēng","吭声,吭气,吭哧,引吭高歌,吭首",清晨，大公鸡引吭高歌了一曲。
1,747,吧,"bā, ba","酒吧,吧台,网吧,吧嗒,吧唧",那位老爷爷吧嗒吧嗒地抽着烟。
1,748,邑,yì,"城邑,都邑,邑人,采邑,邑落",古代那座城邑真是十分热闹呀。
1,749,吼,hǒu,"吼叫,怒吼,狂吼,吼声,大吼",动物园里的猛狮怒吼了一声呀。
1,750,囤,"dùn, tún","囤积,囤聚,囤货,囤粮,囤居",那个贪婪的商人囤积了许多货物。
1,751,别,"bié, biè","别具一格,别有用心,别人,分别,特别",她画的这幅画真是别具一格呀。
1,752,吮,shǔn,"吮吸,吮指,吮乳,吮血,吮吸",小婴儿正安静地吮吸着母乳呀。
1,753,岖,qū,"崎岖不平,崎岖,坎坷崎岖",那条上山的山路崎岖不平真难走。
1,754,岗,"gāng, gǎng","站岗,岗哨,岗位,岗楼,山岗",解放军叔叔在边防岗位上站岗守卫。
1,755,帐,zhàng,"帐子,蚊帐,帐篷,账目,营帐",夏天，我挂着蚊帐睡觉真舒服。
1,756,财,cái,"财源滚滚,见财起意,财物,财产,发财",他靠自己勤劳的双手发财致富呀。
1,757,针,zhēn,"针锋相对,如坐针毡,针线,打针,时针",墙上挂钟的时针正好指到十二点。
1,758,钉,"dīng, dìng","板上钉钉,钉子,铁钉,钉住,图钉",图板上钉着一颗彩色的小图钉呀。
1,759,牡,mǔ,"牡丹,牡蛎,牡牛,牡丹花",春天，公园里的牡丹花开了真美呀。
1,760,告,gào,"不可告人,告别,告示,告诉,报告",班长大声地向全班报告着好消息。
1,761,我,wǒ,"我行我素,忘乎所以,我们,我家,自我",我们全家都热爱着美好的大自然。
1,762,乱,luàn,"手忙脚乱,乱七八糟,打乱,乱说,杂乱",那个小弟弟把玩具扔得乱七八糟。
1,763,利,lì,"利国利民,见利忘义,顺利,利益,锋利",他有一把十分锋利的小刀子呀。
1,764,秃,tū,"秃头,秃顶,秃树,秃鹰,光秃秃",冬天到了，树叶落光，树枝光秃秃。
1,765,秀,xiù,"秀外慧中,山清水秀,优秀,秀丽,秀气",她是个品学兼优的优秀好学生呀。
1,766,私,sī,"大公无私,自私自利,私下,私自,私心",他这种自私自利的行为很不好呀。
1,767,每,měi,"每况愈下,随时随地,每次,每个,每天",我每天早晨都坚持跑步锻炼身体。
1,768,兵,bīng,"纸上谈兵,草木皆兵,兵器,当兵,士兵",那位勇敢的士兵守卫着边疆呀。
1,769,估,"gū, gù","不可估量,估计,低估,评估,估算",据估计明天的运动会照常举行呀。
1,770,体,"tī, tǐ","体贴入微,身体力行,身体,体会,体力",体育课上大家都在锻炼着身体呀。
1,771,何,hé,"何去何从,无可奈何,何处,为何,何故",他在路口不知该何去何从呀。
1,772,佐,zuǒ,"辅佐,佐证,参谋佐,佐餐,辅佐",我们要好好辅佐班长管理好班级。
1,773,佑,yòu,"保佑,庇佑,佑护,护佑,神佑",奶奶常祈求神明保佑一家人平安。
1,774,但,dàn,"但愿如此,不但,但是,但凡,但求",这次考试不但难，而且很灵活呀。
1,775,伸,shēn,"能屈能伸,伸张,伸手,伸缩,延伸",上课时他大胆地伸手回答问题呀。
1,776,佃,diàn,"佃户,佃农,佃租,佃作,租佃",古时候，佃农辛勤地给地主种地。
1,777,作,"zuō, zuò","装模作样,不知所措,作业,工作,作家",我每天回家都会先认真地写作业。
1,778,伯,"bǎi, bó","伯仲之间,伯伯,大伯,伯父,老伯",逢年过节我都会去看望我的大伯。
1,779,伶,líng,"伶俐,伶牙俐齿,名伶,优伶,孤伶",她从小就伶牙俐齿，能说会道。
1,780,佣,"yōng, yòng","雇佣,佣人,女佣,佣工,雇佣",古代有钱人家雇了许多的佣人呀。
1,781,低,dī,"低三下四,眼高手低,低头,低声,降低",老师讲话时请大家不要低着头呀。
1,782,你,nǐ,"你追我赶,你死我活,你好,你们,你的",运动会上同学们你追我赶真热闹。
1,783,住,zhù,"按兵不动,记住,住宿,停住,住在",我家就住在学校旁边的小区里呀。
1,784,位,wèi,"各位,座位,位于,位置,位子",请同学们按照自己的座位坐好呀。
1,785,伴,bàn,"伴郎,伴随,伙伴,陪伴,作伴",放学后，小伙伴陪伴我一起回家。
1,786,身,shēn,"身临其境,身体力行,身边,身边,全身",他身边总是围着一群的好朋友呀。
1,787,皂,zào,"青红皂白,肥皂,皂角,香皂,皂荚",洗手时我使用着一块香香的香皂。
1,788,伺,"cì, sì","伺机,伺候,伺察,窥伺,伺隙",那个佣人正在小心地伺候主人呀。
1,789,佛,"fó, fú","临时抱佛脚,借花献佛,佛祖,佛像,佛教",奶奶常常虔诚地去寺庙拜佛祖呀。
1,790,囱,cōng,"烟囱,囱门,囱口,窗囱,出囱",那座红房子的屋顶上有大烟囱呀。
1,791,近,jìn,"平易近人,近在咫尺,近处,靠近,最近",离我家最近的就是那所小学了呀。
1,792,彻,chè,"彻头彻尾,响彻云霄,彻底,透彻,贯穿",响彻云霄的歌声真是动听极了呀。
1,793,役,yì,"服役,役使,差役,劳役,兵役",哥哥光荣地应征入伍去服兵役呀。
1,794,返,fǎn,"流连忘返,一去不复返,返回,往返,返家",放学后我立刻返回家里写作业呀。
1,795,余,yú,"年年有余,余下,业余,多余,剩余",写完作业我把剩余的时间看书呀。
1,796,希,xī,"希奇古怪,希望,希冀,希求,希罕",我真希望暑假能去海边玩一趟呀。
1,797,坐,zuò,"坐井观天,平起平坐,坐下,坐着,请坐",老师微笑着说，请坐下回答问题。
1,798,谷,gǔ,"进退维谷,谷子,谷物,山谷,稻谷",远处的那座山谷里开满了鲜花呀。
1,799,妥,tuǒ,"妥妥当当,妥协,妥当,妥善,妥帖",这件事我已经安排得妥妥当当了。
1,800,含,hán,"含辛茹苦,含笑,包含,含义,含有",这个生字的含义我还没有学过呀。
1,801,邻,lín,"左邻右舍,邻居,邻里,邻近,四邻",我家邻居是个十分和蔼的老人呀。
1,802,岔,chà,"岔路,岔口,岔开,打岔,岔子",走到了岔路口，我们不知该走哪条。
1,803,肝,gān,"肝胆相照,心肝,肝脏,肝火,猪肝",妈妈炒的猪肝真是又香又嫩呀。
1,804,肛,gāng,"脱肛,肛裂,肛门,肛瘘,痔疮",听了医生的话，妈妈的肛裂好多了。
1,805,肚,"dǔ, dù","肚皮,肚子,肚脐,小肚,牛肚",吃得太多，我的小肚子圆鼓鼓的。
1,806,肘,zhǒu,"胳膊肘,肘子,拐肘,肘窝,肘腋",妈妈炖的猪肘子真是软烂入味呀。
1,807,肠,cháng,"羊肠小道,牵肠挂肚,香肠,肠道,粉肠",这条上山的羊肠小道真不好走呀。
1,808,龟,"guī, jūn, qiū","龟兔赛跑,乌龟,海龟,龟壳,金龟",森林运动会上龟兔赛跑真精彩呀。
1,809,甸,diàn,"沉甸甸,草甸,伊甸园,甸子,沉甸",手里捧着的果实沉甸甸地往下垂。
1,810,免,miǎn,"在所难免,免不得,免费,免去,免除",今天公园的门票是免费开放的呀。
1,811,狂,kuáng,"狂欢,狂风,疯狂,狂奔,狂妄",一阵狂风吹过，落叶满天飞舞呀。
1,812,犹,yóu,"记忆犹新,犹豫不决,犹如,犹疑,犹豫",面对选择，他犹豫了好一会儿呀。
1,813,狈,bèi,"狼狈为奸,狼狈不堪,狈狼,狼狈,窘狈",那个落汤鸡真是狼狈不堪的样子。
1,814,角,"jiǎo, jué","拐弯抹角,角度,三角,角落,牛角",那只小山羊头上长着两只弯角呀。
1,815,删,shān,"删除,删去,删改,删减,删节",老师让我把作文里多余的删去呀。
